Name,Region,state,summit_elev,vertical_drop,base_elev,trams,fastSixes,fastQuads,quad,triple,double,surface,total_chairs,Runs,TerrainParks,LongestRun_mi,SkiableTerrain_ac,Snow Making_ac,daysOpenLastYear,yearsOpen,averageSnowfall,AdultWeekend,projectedDaysOpen,NightSkiing_ac,resorts_per_state,resorts_per_100kcapita,resorts_per_100ksq_mile,resort_skiable_area_ac_state_ratio,resort_days_open_state_ratio,resort_terrain_park_state_ratio,resort_night_skiing_state_ratio,total_chairs_runs_ratio,total_chairs_skiable_ratio,fastQuads_runs_ratio,fastQuads_skiable_ratio
Solitude Mountain Resort,Salt Lake City,Utah,10488,2494,7994,0,0,4,2,1,1,1,9,80,,3,1200,150,161,62,500,119,148,,13,0.405495019,15.312673,0.039333945,0.104274611,,,0.1125,0.0075,0.05,0.003333333
Sundance,Utah,Utah,8250,2150,6100,0,0,0,2,2,0,1,5,45,1,0.6,450,112,128,50,320,80,129,,13,0.405495019,15.312673,0.014750229,0.082901554,0.038461538,,0.111111111,0.011111111,0,0
Nordic Valley Resort,Utah,Utah,6400,960,5440,0,0,0,0,0,2,2,4,23,1,0.4,140,84,105,51,300,50,105,140,13,0.405495019,15.312673,0.00458896,0.068005181,0.038461538,0.218068536,0.173913043,0.028571429,0,0
Bolton Valley,Vermont,Vermont,3150,1704,1446,0,0,0,2,0,3,1,6,71,3,0.6,300,90,133,53,300,79,132,50,15,2.40388853,155.9900166,0.041442188,0.074845245,0.06,1,0.084507042,0.02,0,0
Bromley Mountain,Vermont,Vermont,3284,1334,1950,0,0,1,1,0,4,3,9,47,1,2.5,178,153,,83,168,91,152,,15,2.40388853,155.9900166,0.024589032,,0.02,,0.191489362,0.050561798,0.021276596,0.005617978
Burke Mountain,Vermont,Vermont,3267,2011,1210,0,0,2,1,0,0,3,6,50,3,2.2,178,125,110,62,217,73,125,,15,2.40388853,155.9900166,0.024589032,0.061902082,0.06,,0.12,0.033707865,0.04,0.011235955
Jay Peak,Vermont,Vermont,3968,2153,1815,1,0,1,3,1,1,2,9,79,2,3,385,300,155,64,349,89,160,,15,2.40388853,155.9900166,0.053184141,0.087225661,0.04,,0.113924051,0.023376623,0.012658228,0.002597403
Killington Resort,Vermont,Vermont,4241,3050,1165,3,1,5,4,3,1,5,22,155,6,6,1515,600,192,61,250,119,,,15,2.40388853,155.9900166,0.20928305,0.108047271,0.12,,0.141935484,0.014521452,0.032258065,0.00330033
Magic Mountain,Vermont,Vermont,2850,1500,1350,0,0,0,0,0,3,3,6,50,1,1.6,205,95,76,59,150,74,80,,15,2.40388853,155.9900166,0.028318829,0.042768711,0.02,,0.12,0.029268293,0,0
Pico Mountain,Vermont,Vermont,3967,1967,2000,0,0,2,0,2,2,1,7,59,1,4,260,156,,82,250,81,,,15,2.40388853,155.9900166,0.035916563,,0.02,,0.118644068,0.026923077,0.033898305,0.007692308
Smugglers' Notch Resort,Vermont,Vermont,3640,2610,1030,0,0,0,0,0,6,2,8,78,6,3,1000,192,136,63,280,79,135,,15,2.40388853,155.9900166,0.138140627,0.076533483,0.12,,0.102564103,0.008,0,0
Sugarbush,Vermont,Vermont,4083,2600,1483,0,0,5,5,2,1,3,16,111,4,3,581,406,150,61,250,119,156,,15,2.40388853,155.9900166,0.080259704,0.08441193,0.08,,0.144144144,0.027538726,0.045045045,0.008605852
Suicide Six,Vermont,Vermont,1200,650,550,0,0,0,0,0,2,1,3,24,,0.4,100,50,100,85,90,75,106,,15,2.40388853,155.9900166,0.013814063,0.05627462,,,0.125,0.03,0,0
Bryce Resort,Virginia,Virginia,1750,500,1250,0,0,0,1,0,1,5,7,8,,0.4,25,25,100,54,30,68,95,20,4,0.046862997,9.351256575,0.092936803,0.273224044,,0.148148148,0.875,0.28,0,0
49 Degrees North,Washington,Washington,5774,1851,3932,0,0,0,1,0,5,1,7,89,1,2,2325,,101,48,301,62,135,250,10,0.131321609,14.02563887,0.151663405,0.098825832,0.047619048,0.125187782,0.078651685,0.003010753,0,0
Bluewood,Washington,Washington,5670,1125,4545,0,0,0,0,2,0,1,3,24,2,2,355,,70,40,300,47,110,,10,0.131321609,14.02563887,0.023157208,0.068493151,0.095238095,,0.125,0.008450704,0,0
Crystal Mountain,Washington,Washington,7012,3100,4400,1,2,2,1,2,2,0,10,57,1,2.5,2600,10,,57,486,99,,,10,0.131321609,14.02563887,0.169602087,,0.047619048,,0.175438596,0.003846154,0.035087719,0.000769231
Mt. Baker,Washington,Washington,5000,1500,3500,0,0,0,8,0,0,2,10,38,,0.7,1000,,143,66,663,60.01,165,,10,0.131321609,14.02563887,0.065231572,0.139921722,,,0.263157895,0.01,0,0
Mt. Spokane Ski and Snowboard Park,Washington,Washington,5889,2000,4200,0,0,0,0,1,5,1,7,52,3,0.6,1704,,100,81,300,59,103,45,10,0.131321609,14.02563887,0.111154599,0.097847358,0.142857143,0.022533801,0.134615385,0.004107981,0,0
The Summit at Snoqualmie,Washington,Washington,3865,1025,2840,0,0,3,3,4,10,7,27,112,5,0.8,1994,5,120,82,428,95,140,541,10,0.131321609,14.02563887,0.130071755,0.11741683,0.238095238,0.27090636,0.241071429,0.013540622,0.026785714,0.001504514
White Pass,Washington,Washington,6550,2050,4500,0,0,2,1,1,2,2,8,45,2,2.5,1402,30,148,67,400,69,144,90,10,0.131321609,14.02563887,0.091454664,0.14481409,0.095238095,0.045067601,0.177777778,0.005706134,0.044444444,0.001426534
Canaan Valley Resort,West Virginia,West Virginia,4280,850,3430,0,0,0,1,2,0,1,4,47,1,1.2,95,75,,48,160,68,93,,4,0.223195977,16.50846059,0.175276753,,0.111111111,,0.085106383,0.042105263,0,0
Snowshoe Mountain Resort,West Virginia,West Virginia,4848,1500,3348,0,0,3,2,6,0,3,14,60,5,1.5,257,257,125,46,180,87,138,86,4,0.223195977,16.50846059,0.474169742,0.365497076,0.555555556,0.459893048,0.233333333,0.054474708,0.05,0.011673152
Timberline Four Seasons,West Virginia,West Virginia,4265,1000,3268,0,0,0,0,2,1,1,4,40,1,2,100,100,97,37,150,92,115,27,4,0.223195977,16.50846059,0.184501845,0.283625731,0.111111111,0.144385027,0.1,0.04,0,0
Winterplace Ski Resort,West Virginia,West Virginia,3600,603,2997,0,0,0,2,3,2,2,9,27,2,1.2,90,90,120,36,100,72,120,74,4,0.223195977,16.50846059,0.166051661,0.350877193,0.222222222,0.395721925,0.333333333,0.1,0,0
Alpine Valley Resort,Wisconsin,Wisconsin,1040,388,820,0,0,3,0,3,1,5,12,21,3,0.2,90,90,100,55,80,65,120,90,15,0.257624217,22.90216196,0.051428571,0.065832785,0.075,0.084507042,0.571428571,0.133333333,0.142857143,0.033333333
Bruce Mound,Wisconsin,Wisconsin,1375,375,1000,0,0,0,0,1,0,4,5,12,2,0.5,40,30,42,71,42,25,42,30,15,0.257624217,22.90216196,0.022857143,0.02764977,0.05,0.028169014,0.416666667,0.125,0,0
Cascade Mountain,Wisconsin,Wisconsin,1280,460,820,0,0,2,2,3,2,3,12,47,4,1.1,175,175,120,57,56,64,120,,15,0.257624217,22.90216196,0.1,0.078999342,0.1,,0.255319149,0.068571429,0.042553191,0.011428571
Christie Mountain,Wisconsin,Wisconsin,1650,350,1300,0,0,0,0,0,1,5,6,30,4,0.8,45,41,92,43,48,38,120,35,15,0.257624217,22.90216196,0.025714286,0.060566162,0.1,0.03286385,0.2,0.133333333,0,0
Devils Head,Wisconsin,Wisconsin,995,500,495,0,0,0,3,1,6,2,12,27,1,1,260,260,110,48,45,65,135,200,15,0.257624217,22.90216196,0.148571429,0.072416063,0.025,0.187793427,0.444444444,0.046153846,0,0
Grand Geneva,Wisconsin,Wisconsin,1086,211,875,0,0,0,0,0,3,3,6,20,1,0.2,30,30,90,25,25,49,93,30,15,0.257624217,22.90216196,0.017142857,0.059249506,0.025,0.028169014,0.3,0.2,0,0
Granite Peak Ski Area,Wisconsin,Wisconsin,1942,700,1242,0,1,2,0,2,0,2,7,75,4,0.6,220,160,136,82,75,92,135,200,15,0.257624217,22.90216196,0.125714286,0.089532587,0.1,0.187793427,0.093333333,0.031818182,0.026666667,0.009090909
Mount La Crosse,Wisconsin,Wisconsin,1110,516,594,0,0,0,0,0,3,1,4,19,1,0.4,100,100,115,60,40,56,100,90,15,0.257624217,22.90216196,0.057142857,0.075707702,0.025,0.084507042,0.210526316,0.04,0,0
Nordic Mountain,Wisconsin,Wisconsin,1137,265,872,0,0,0,0,1,1,5,7,18,4,1,60,60,68,43,80,47,90,60,15,0.257624217,22.90216196,0.034285714,0.044766294,0.1,0.056338028,0.388888889,0.116666667,0,0
Sunburst,Wisconsin,Wisconsin,1100,214,866,0,0,0,0,0,3,6,9,13,4,0.5,37,37,99,59,50,44,115,37,15,0.257624217,22.90216196,0.021142857,0.065174457,0.1,0.034741784,0.692307692,0.243243243,0,0
Trollhaugen,Wisconsin,Wisconsin,1200,260,920,0,0,0,2,0,1,5,8,24,4,0.5,86,86,130,69,50,54,120,86,15,0.257624217,22.90216196,0.049142857,0.08558262,0.1,0.080751174,0.333333333,0.093023256,0,0
Tyrol Basin,Wisconsin,Wisconsin,1160,300,860,0,0,0,0,3,0,2,5,18,5,0.5,32,32,112,61,41,48,103,32,15,0.257624217,22.90216196,0.018285714,0.073732719,0.125,0.030046948,0.277777778,0.15625,0,0
Whitecap Mountain,Wisconsin,Wisconsin,1750,400,1295,0,0,0,1,0,4,0,5,43,1,1,400,300,105,57,200,60,118,,15,0.257624217,22.90216196,0.228571429,0.069124424,0.025,,0.11627907,0.0125,0,0
Wilmot Mountain,Wisconsin,Wisconsin,1030,230,800,0,0,0,3,2,2,3,10,23,2,0.5,135,135,125,81,70,66,139,135,15,0.257624217,22.90216196,0.077142857,0.082290981,0.05,0.126760563,0.434782609,0.074074074,0,0
Grand Targhee Resort,Wyoming,Wyoming,9920,2270,7851,0,0,2,2,0,0,1,5,95,1,2.7,2602,,152,50,500,90,152,,8,1.382267922,8.178871929,0.398896213,0.212290503,0.071428571,,0.052631579,0.001921599,0.021052632,0.00076864
Hogadon Basin,Wyoming,Wyoming,8000,640,7400,0,0,0,0,0,1,1,2,28,1,0.6,92,32,121,61,80,48,95,,8,1.382267922,8.178871929,0.01410394,0.168994413,0.071428571,,0.071428571,0.02173913,0,0
Sleeping Giant Ski Resort,Wyoming,Wyoming,7428,810,6619,0,0,0,0,1,1,1,3,48,1,1,184,18,61,81,310,42,77,,8,1.382267922,8.178871929,0.02820788,0.085195531,0.071428571,,0.0625,0.016304348,0,0
Snow King Resort,Wyoming,Wyoming,7808,1571,6237,0,0,0,1,1,1,0,3,32,2,1,400,250,121,80,300,59,123,110,8,1.382267922,8.178871929,0.061321478,0.168994413,0.142857143,1,0.09375,0.0075,0,0
Snowy Range Ski & Recreation Area,Wyoming,Wyoming,9663,990,8798,0,0,0,0,1,3,1,5,33,2,0.7,75,30,131,59,250,49,,,8,1.382267922,8.178871929,0.011497777,0.182960894,0.142857143,,0.151515152,0.066666667,0,0
White Pine Ski Area,Wyoming,Wyoming,9500,1100,8400,0,0,0,0,2,0,0,2,25,,0.4,370,,,81,150,49,,,8,1.382267922,8.178871929,0.056722367,,,,0.08,0.005405405,0,0
